SEMANA,Custo_Pmax_Bateria,Custo_Shopping_Bateria,Custo_Pmax_Fonte,Custo_Search_Fonte,RECEITA_TOTAL
2025-01-06,500,300,400,200,5000
2025-01-13,515,308,414,207,5150
2025-01-20,530,316,428,214,5300
2025-01-27,545,324,412,221,5450
2025-02-03,560,312,426,228,5600
2025-02-10,525,320,440,235,5250
2025-02-17,540,328,424,212,5400
2025-02-24,555,336,438,219,5550
2025-03-03,570,324,452,226,5700
2025-03-10,585,332,436,233,5850
2025-03-17,550,340,450,240,5500
2025-03-24,565,348,464,247,5650
2025-03-31,580,336,448,224,5800
2025-04-07,595,344,462,231,5950
2025-04-14,610,352,476,238,6100
2025-04-21,575,360,460,245,5750
2025-04-28,590,348,474,252,5900
2025-05-05,605,356,488,259,6050
2025-05-12,620,364,472,236,6200
2025-05-19,635,372,486,243,6350
2025-05-26,600,360,500,250,6000
2025-06-02,615,368,484,257,6150
2025-06-09,630,376,498,264,6300
2025-06-16,645,384,512,271,6450
2025-06-23,660,372,496,248,6600
2025-06-30,625,380,510,255,6250
